timestamp,rpm,throttle_percent
2026-07-09T02:02:28.867,793.25,11.764705882352942
2026-07-09T02:02:29.107,793.0,11.764705882352942
2026-07-09T02:02:29.347,795.0,11.764705882352942
2026-07-09T02:02:29.588,798.0,11.764705882352942
2026-07-09T02:02:29.828,796.5,12.156862745098039
2026-07-09T02:02:30.067,797.25,11.764705882352942
2026-07-09T02:02:30.324,798.5,11.764705882352942
2026-07-09T02:02:30.564,799.75,11.764705882352942
2026-07-09T02:02:30.806,802.25,11.764705882352942
2026-07-09T02:02:31.044,798.0,11.764705882352942
2026-07-09T02:02:31.290,791.0,11.764705882352942
2026-07-09T02:02:31.525,803.0,11.764705882352942
2026-07-09T02:02:31.764,795.5,11.764705882352942
2026-07-09T02:02:32.004,794.0,11.764705882352942
2026-07-09T02:02:32.245,797.0,11.764705882352942
2026-07-09T02:02:32.486,795.25,11.764705882352942
2026-07-09T02:02:32.725,791.75,11.764705882352942
2026-07-09T02:02:32.965,785.5,12.156862745098039
2026-07-09T02:02:33.207,794.75,11.764705882352942
2026-07-09T02:02:33.461,800.75,11.764705882352942
2026-07-09T02:02:33.703,798.5,11.764705882352942
2026-07-09T02:02:33.945,802.25,11.764705882352942
2026-07-09T02:02:34.182,799.25,11.764705882352942
2026-07-09T02:02:34.423,804.0,11.764705882352942
2026-07-09T02:02:34.662,795.5,11.764705882352942
2026-07-09T02:02:34.903,797.75,11.764705882352942
2026-07-09T02:02:35.142,794.75,11.764705882352942
2026-07-09T02:02:35.383,795.25,11.764705882352942
2026-07-09T02:02:35.622,797.0,11.764705882352942
2026-07-09T02:02:35.864,789.25,11.764705882352942
2026-07-09T02:02:36.103,789.0,11.764705882352942
2026-07-09T02:02:36.344,789.5,11.764705882352942
2026-07-09T02:02:36.583,795.5,11.764705882352942
2026-07-09T02:02:36.824,796.0,11.764705882352942
2026-07-09T02:02:37.063,793.25,11.764705882352942
2026-07-09T02:02:37.321,795.0,11.764705882352942
2026-07-09T02:02:37.559,798.75,12.156862745098039
2026-07-09T02:02:37.799,803.0,11.764705882352942
2026-07-09T02:02:38.041,798.5,11.764705882352942
2026-07-09T02:02:38.280,806.5,11.764705882352942
2026-07-09T02:02:38.521,796.75,11.764705882352942
2026-07-09T02:02:38.762,792.0,11.764705882352942
2026-07-09T02:02:39.001,795.75,11.764705882352942
2026-07-09T02:02:39.225,799.5,12.156862745098039
2026-07-09T02:02:39.482,803.75,12.156862745098039
2026-07-09T02:02:39.721,794.0,11.764705882352942
2026-07-09T02:02:39.978,797.25,11.764705882352942
2026-07-09T02:02:40.219,795.75,11.764705882352942
2026-07-09T02:02:40.465,791.0,12.156862745098039
2026-07-09T02:02:40.698,794.25,11.764705882352942
2026-07-09T02:02:40.938,794.75,12.156862745098039
2026-07-09T02:02:41.178,791.75,11.764705882352942
2026-07-09T02:02:41.420,802.5,11.764705882352942
2026-07-09T02:02:41.659,802.75,11.764705882352942
2026-07-09T02:02:41.898,790.0,11.764705882352942
2026-07-09T02:02:42.139,793.5,11.764705882352942
2026-07-09T02:02:42.379,793.0,11.764705882352942
2026-07-09T02:02:42.620,800.75,11.764705882352942
2026-07-09T02:02:42.859,804.5,11.764705882352942
2026-07-09T02:02:43.100,804.0,11.764705882352942
2026-07-09T02:02:43.473,789.0,11.764705882352942
2026-07-09T02:02:43.709,793.5,12.156862745098039
2026-07-09T02:02:43.997,803.0,12.156862745098039
2026-07-09T02:02:44.238,797.75,11.764705882352942
2026-07-09T02:02:44.513,790.25,11.764705882352942
2026-07-09T02:02:44.748,789.75,11.764705882352942
2026-07-09T02:02:44.989,791.75,11.764705882352942
2026-07-09T02:02:45.229,788.75,11.764705882352942
2026-07-09T02:02:45.501,799.75,11.764705882352942
2026-07-09T02:02:45.726,801.75,11.764705882352942
2026-07-09T02:02:45.965,800.0,11.764705882352942
2026-07-09T02:02:46.206,793.5,11.764705882352942
2026-07-09T02:02:46.446,796.75,11.764705882352942
2026-07-09T02:02:46.686,798.5,11.764705882352942
2026-07-09T02:02:46.927,803.0,11.764705882352942
2026-07-09T02:02:47.165,797.0,11.764705882352942
2026-07-09T02:02:47.406,793.0,12.156862745098039
2026-07-09T02:02:47.647,792.25,12.156862745098039
2026-07-09T02:02:47.886,799.25,11.764705882352942
2026-07-09T02:02:48.126,788.5,12.156862745098039
2026-07-09T02:02:48.366,796.0,11.764705882352942
2026-07-09T02:02:48.606,790.75,12.156862745098039
2026-07-09T02:02:48.847,793.75,11.764705882352942
2026-07-09T02:02:49.088,793.75,11.764705882352942
2026-07-09T02:02:49.360,793.75,12.156862745098039
2026-07-09T02:02:49.601,798.0,11.764705882352942
2026-07-09T02:02:49.839,791.0,12.156862745098039
2026-07-09T02:02:50.095,801.0,11.764705882352942
2026-07-09T02:02:50.337,795.75,11.764705882352942
2026-07-09T02:02:50.609,799.25,11.764705882352942
2026-07-09T02:02:50.867,796.0,12.156862745098039
